treatment;harvest;trait;reps;Shoot_length;Root_lenght;Shoot_fresh_weight;Root_fresh_weight;Dry_shoot_weight;Dry_root_weight
Drought;0;Resistant;1;13.9;22.5;0.98;3.6;0.17;0.31
Drought;0;Resistant;2;15;6.5;0.61;0.34;0.15;0.95
Drought;0;Resistant;3;14.45;14.5;0.795;1.97;0.16;0.63
Drought;0;Susceptible;1;9.5;23;0.39;1.28;0.06;0.26
Drought;0;Susceptible;2;9.9;7.5;0.38;2.09;0.05;0.27
Drought;0;Susceptible;3;12;18.1;0.6;1.81;0.04;0.45
Watered;0;Resistant;1;15.2;24.5;0.95;3.4;0.06;0.28
Watered;0;Resistant;2;10.2;20.5;0.72;2.21;0.11;0.25
Watered;0;Resistant;3;12.7;22.5;0.835;2.805;0.085;0.265
Watered;0;Susceptible;1;13.8;11.8;0.38;0.89;0.12;0.28
Watered;0;Susceptible;2;11.5;18;0.51;1.05;0.08;0.32
Watered;0;Susceptible;3;0.58;13.2;0.25;0.85;0.07;0.21
Drought;1;Resistant;1;15.5;14.5;0.93;1.47;0.16;0.62
Drought;1;Resistant;2;15;22.8;0.87;2.31;0.12;0.12
Drought;1;Resistant;3;15.25;18.65;0.9;1.89;0.14;0.37
Drought;1;Susceptible;1;7;13.6;0.23;1.16;0.07;0.32
Drought;1;Susceptible;2;10.2;26.4;0.34;1.05;0.06;0.79
Drought;1;Susceptible;3;9.8;15;0.48;0.91;0.08;0.54
Watered;1;Resistant;1;10;10.5;0.44;1.78;0.15;1.07
Watered;1;Resistant;2;12.6;18;0.64;1.09;0.12;0.53
Watered;1;Resistant;3;11.3;14.25;0.54;1.435;0.135;0.8
Watered;1;Susceptible;1;13;17.2;0.74;1.77;0.69;0.33
Watered;1;Susceptible;2;11.8;23.7;0.47;1.17;0.08;0.36
Watered;1;Susceptible;3;12.6;12.5;0.3;1.09;0.45;0.26
Drought;2;Resistant;1;19.6;20.3;0.93;1.8;0.17;0.54
Drought;2;Resistant;2;18.6;26.7;1.04;2.05;0.18;0.7
Drought;2;Resistant;3;19.1;23.5;0.985;1.925;0.175;0.62
Drought;2;Susceptible;1;12.7;15.5;0.85;1.56;0.14;0.23
Drought;2;Susceptible;2;15.2;16.5;0.8;1.78;0.13;0.63
Drought;2;Susceptible;3;10;13;0.35;0.96;0.06;0.22
Watered;2;Resistant;1;12.3;14.4;0.52;1.2;0.08;0.36
Watered;2;Resistant;2;11.3;14;11.64;1.11;0.13;0.23
Watered;2;Resistant;3;11.8;14.2;6.08;1.155;0.105;0.295
Watered;2;Susceptible;1;12.5;17.5;0.58;1.1;0.11;0.25
Watered;2;Susceptible;2;12.8;10;0.56;0.85;0.1;0.21
Watered;2;Susceptible;3;13.3;15;0.5;1.03;0.09;0.2
Drought;3;Resistant;1;16;24;0.71;1.35;0.13;0.22
Drought;3;Resistant;2;13;22;0.6;1.62;0.13;0.39
Drought;3;Resistant;3;14.5;23;0.655;1.485;0.13;0.305
Drought;3;Susceptible;1;6.5;10.5;0.21;1.215;0.03;0.18
Drought;3;Susceptible;2;8.5;23;0.45;1.4;0.07;0.19
Drought;3;Susceptible;3;11;16.5;0.54;1.03;0.1;0.2
Watered;3;Resistant;1;13.5;16.5;0.69;1.32;0.11;0.26
Watered;3;Resistant;2;16;17.5;1.15;2.14;0.17;0.29
Watered;3;Resistant;3;14.75;17;0.92;1.73;0.14;0.275
Watered;3;Susceptible;1;15;28;0.66;1.54;0.11;0.2
Watered;3;Susceptible;2;7;14.5;0.25;0.45;0.04;0.13
Watered;3;Susceptible;3;14.5;18.5;0.83;1.23;0.14;0.21
Drought;4;Resistant;1;8.5;13.5;0.36;0.49;0.06;0.13
Drought;4;Resistant;2;11.2;23;0.67;1.19;0.08;0.46
Drought;4;Resistant;3;9.85;18.25;0.515;0.84;0.07;0.295
Drought;4;Susceptible;1;11.5;27.5;0.41;0.61;0.06;0.22
Drought;4;Susceptible;2;9;18.2;0.3;0.71;0.05;0.26
Drought;4;Susceptible;3;7.7;17.8;0.31;0.72;0.04;0.17
Watered;4;Resistant;1;15.5;19.1;0.95;1.32;0.17;0.21
Watered;4;Resistant;2;14.8;37.8;0.82;1.36;0.48;0.46
Watered;4;Resistant;3;13.6;32.5;0.81;1.44;0.15;0.38
Watered;4;Susceptible;1;9.7;10;0.38;0.84;0.07;0.18
Watered;4;Susceptible;2;12.8;21;0.82;1.06;0.08;0.13
Watered;4;Susceptible;3;11.3;16.4;0.47;0.75;0.09;0.17
Drought;5;Resistant;1;10.4;29.6;0.4;0.67;0.155;0.34
Drought;5;Resistant;2;7.5;11.2;0.16;0.35;0.28;0.4
Drought;5;Resistant;3;9.7;33;0.11;0.07;0.11;0.345
Drought;5;Susceptible;1;8.7;24.2;0.18;0.41;0.13;0.32
Drought;5;Susceptible;2;9.8;17.7;0.15;0.17;0.11;0.265
Drought;5;Susceptible;3;7.5;13.5;0.21;0.52;0.09;0.195
Watered;5;Resistant;1;16;20;1.21;1.42;0.14;0.47
Watered;5;Resistant;2;13.5;18.6;0.74;1.1;0.08;0.34
Watered;5;Resistant;3;0;37.8;0.5;0.65;0.07;0.31
Watered;5;Susceptible;1;14.8;24.3;0.39;1.43;0.19;0.46
Watered;5;Susceptible;2;10.4;17.2;0.44;0.78;0.14;0.4
Watered;5;Susceptible;3;12.4;20.5;0.44;0.9;0.09;0.22